oranjestad,capital_of,aruba
aruba,in_subregion,caribbean
aruba,in_region,americas
caribbean,is_subregion_of,americas
afghanistan,borders,iran
afghanistan,borders,pakistan
afghanistan,borders,turkmenistan
afghanistan,borders,uzbekistan
afghanistan,borders,tajikistan
afghanistan,borders,china
kabul,capital_of,afghanistan
afghanistan,in_subregion,southern_Asia
afghanistan,in_region,asia
southern_Asia,is_subregion_of,asia
angola,borders,republic_of_the_Congo
angola,borders,dR_Congo
angola,borders,zambia
angola,borders,namibia
luanda,capital_of,angola
angola,in_subregion,middle_Africa
angola,in_region,africa
middle_Africa,is_subregion_of,africa
the_Valley,capital_of,anguilla
anguilla,in_subregion,caribbean
anguilla,in_region,americas
mariehamn,capital_of,åland_Islands
åland_Islands,in_subregion,northern_Europe
åland_Islands,in_region,europe
northern_Europe,is_subregion_of,europe
albania,borders,montenegro
albania,borders,greece
albania,borders,north_Macedonia
albania,borders,kosovo
tirana,capital_of,albania
albania,in_subregion,southern_Europe
albania,in_region,europe
southern_Europe,is_subregion_of,europe
andorra,borders,france
andorra,borders,spain
andorra_la_Vella,capital_of,andorra
andorra,in_subregion,southern_Europe
andorra,in_region,europe
united_Arab_Emirates,borders,oman
united_Arab_Emirates,borders,saudi_Arabia
abu_Dhabi,capital_of,united_Arab_Emirates
united_Arab_Emirates,in_subregion,western_Asia
united_Arab_Emirates,in_region,asia
western_Asia,is_subregion_of,asia
argentina,borders,bolivia
argentina,borders,brazil
argentina,borders,chile
argentina,borders,paraguay
argentina,borders,uruguay
buenos_Aires,capital_of,argentina
argentina,in_subregion,south_America
argentina,in_region,americas
south_America,is_subregion_of,americas
armenia,borders,azerbaijan
armenia,borders,georgia
armenia,borders,iran
armenia,borders,turkey
yerevan,capital_of,armenia
armenia,in_subregion,western_Asia
armenia,in_region,asia
pago_Pago,capital_of,american_Samoa
american_Samoa,in_subregion,polynesia
american_Samoa,in_region,oceania
polynesia,is_subregion_of,oceania
saint_Johns,capital_of,antigua_and_Barbuda
antigua_and_Barbuda,in_subregion,caribbean
antigua_and_Barbuda,in_region,americas
canberra,capital_of,australia
australia,in_subregion,australia_and_New_Zealand
australia,in_region,oceania
australia_and_New_Zealand,is_subregion_of,oceania
austria,borders,czechia
austria,borders,germany
austria,borders,hungary
austria,borders,italy
austria,borders,liechtenstein
austria,borders,slovakia
austria,borders,slovenia
austria,borders,switzerland
vienna,capital_of,austria
austria,in_subregion,western_Europe
austria,in_region,europe
western_Europe,is_subregion_of,europe
azerbaijan,borders,armenia
azerbaijan,borders,georgia
azerbaijan,borders,iran
azerbaijan,borders,russia
azerbaijan,borders,turkey
baku,capital_of,azerbaijan
azerbaijan,in_subregion,western_Asia
azerbaijan,in_region,asia
burundi,borders,dR_Congo
burundi,borders,rwanda
burundi,borders,tanzania
bujumbura,capital_of,burundi
burundi,in_subregion,eastern_Africa
burundi,in_region,africa
eastern_Africa,is_subregion_of,africa
belgium,borders,france
belgium,borders,germany
belgium,borders,luxembourg
belgium,borders,netherlands
brussels,capital_of,belgium
belgium,in_subregion,western_Europe
